condom,floor,ascensore,accdisabili,indivsapt,totlocali,camereletto,bagno,status,heating,photosnum,totpiani,price,sqfeet,nroom,fibra_ottica,videocitofono,impianto_di_allarme,reception,porta_blindata,esposizione_esterna,cancello_elettrico,portiere_intera_giornata,balcone,arredato,impianto_tv_centralizzato,armadio_a_muro,portiere_mezza_giornata,caminetto,esposizione_interna,mansarda,parzialmente_arredato,taverna,idromassaggio,terrazza,esposizione_doppia,giardino_comune,giardino_privato
1,3 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",20,6 piani,3500,170,4,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
50,4 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, ad aria, alimentato a pompa di calore",10,4 piani,1150,45,2,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no
125,2 piano,con ascensore,no,Appartamento,Quadrilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",20,6 piani,2700,135,4,yes,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no
130,1 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a gas",20,5 piani,820,75,3,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no
200,Piano rialzato,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gas",16,5 piani,2000,125,4,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no
333,4 piano,con ascensore,no,Appartamento,Trilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",16,5 piani,3000,130,3,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,no,no
100,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",17,5 piani,1100,60,2,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no
150,4 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",14,4 piani,1440,66,2,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no
160,Piano terra,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori",16,4 piani,940,57,2,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
70,1 piano,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, alimentato a pompa di calore",7,5 piani,1100,43,1,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
333,5 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",12,7 piani,3000,100,3,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
250,Piano terra,con ascensore,no,Appartamento,Trilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",9,3 piani,3000,80,3,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
162.9654370004932,1 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,NA,NA,9,4 piani,900,55,2,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
70,3 piano,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a gas",17,5 piani,930,35,1,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
100,Piano rialzato,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a gas",19,1 piano,950,50,2,yes,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no
99.38197129109369,1 piano,no,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,"Autonomo, ad aria",8,NA,700,30,1,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no
150,Piano terra,no,no,Loft,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",7,5 piani,1200,51,2,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no
150,6 piano,con ascensore,no,Appartamento,Monolocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a metano",14,8 piani,1150,45,1,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
60,4 piano,con ascensore,no,Mansarda,Monolocale,1 camera da letto,1 bagno,Buono / Abitabile,Autonomo,15,4 piani,950,40,1,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no
192,4 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Centralizzato, a radiatori",9,4 piani,1833,42,2,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no
100,2 piano,no,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Autonomo, a radiatori, alimentato a gas",11,3 piani,1200,65,3,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no
295,2 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",17,7 piani,1700,70,2,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no
60,5 piano,con ascensore,no,Appartamento,Bilocale,NA,1 bagno,Ottimo / Ristrutturato,"Autonomo, a radiatori, alimentato a metano",6,5 piani,1300,75,2,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no
250,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,1 bagno,Buono / Abitabile,"Centralizzato, a radiatori, alimentato a metano",18,7 piani,1100,90,3,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
375,4 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",20,6 piani,2500,150,3,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
800,1 piano,no,no,Appartamento,Pentalocale,3 camere da letto,3 bagni,Buono / Abitabile,"Centralizzato, ad aria, alimentato a gas",20,2 piani,1900,150,5,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no
300,2 piano,con ascensore,no,Appartamento,Trilocale,1 camera da letto,2 bagni,Ottimo / Ristrutturato,Centralizzato,20,4 piani,1900,120,3,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no
100,1 piano,no,no,Appartamento,Bilocale,1 camera da letto,1 bagno,NA,NA,9,NA,1500,50,2,yes,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
331.73519299576316,5 piano,con ascensore,no,Appartamento,Quadrilocale,3 camere da letto,3 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori, alimentato a gasolio",9,7 piani,3500,160,4,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
113,3 piano,con ascensore,no,Appartamento,Bilocale,1 camera da letto,1 bagno,Ottimo / Ristrutturato,Centralizzato,3,6 piani,1350,54,2,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
250,3 piano,con ascensore,no,Appartamento,Trilocale,2 camere da letto,2 bagni,Ottimo / Ristrutturato,"Centralizzato, a radiatori",20,5 piani,2000,125,3,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no
